annotators,image file,Human nGaussians,Human median (number),Human median (draw),Ground Truth nGaussians,Ground Truth Median,Ground Truth nBars
annotator1,id_0053.jpeg,1,-0.52,-0.525489044002805,3,-0.525414896295505,50
annotator1,id_0030.jpeg,2,-0.01,-0.03752576102966665,2,-0.016091899038866014,10
annotator1,id_0062.jpeg,2,0.17,0.1303438374867169,2,0.138299083669354,20
annotator1,id_0004.jpeg,1,-0.67,-0.6688686101783958,1,-0.7095085056464476,50
annotator1,id_0077.jpeg,1,-0.45,-0.4707345815446052,2,-0.4723913577551772,20
annotator1,id_0002.jpeg,2,0.125,0.19251369078277436,2,0.1631282028990468,10
annotator1,id_0024.jpeg,2,-0.1,-0.1297591707780812,2,-0.27170832517096644,45
annotator1,id_0005.jpeg,1,-0.059,-0.05850476725152257,2,-0.06041643059872455,10
annotator1,id_0058.jpeg,2,0.16,0.12311948838510184,2,0.09764789273740451,60
annotator1,id_0044.jpeg,3,0.6,0.6039618897771337,2,0.5701574633626592,60
annotator1,id_0035.jpeg,1,0.58,0.569289853996167,1,0.5692977213084593,50
annotator1,id_0072.jpeg,2,-0.1,-0.028960632870809966,5,-0.05084275404742923,50
annotator1,id_0052.jpeg,3,0.13,0.1232984871428519,3,0.12697443565216776,50
annotator1,id_0025.jpeg,2,-0.6,-0.5971854568873689,3,-0.5914044733399562,50
annotator1,id_0059.jpeg,2,-0.3,-0.2805627297233334,2,-0.2821889955740224,60
annotator1,id_0073.jpeg,3,0.18,0.14210902970936656,5,0.09222463154855337,50
annotator1,id_0022.jpeg,1,0.558,0.5570751534781316,2,0.549635968449612,10
annotator1,id_0078.jpeg,2,-0.4,-0.4196726977731409,5,-0.4793884948389979,50
annotator1,id_0003.jpeg,2,0.155,0.15025865328686316,2,0.14527528327985648,10
annotator1,id_0001.jpeg,1,0.33,0.3480883492810298,2,0.3451878052305861,50
annotator1,id_0066.jpeg,2,0.805,0.811414978303169,2,0.8088608399778532,45
annotator1,id_0042.jpeg,1,0.64,0.6338112011472516,2,0.6404160766630164,45
annotator1,id_0064.jpeg,2,0.85,0.8408610925095412,2,0.8107388146713747,10
annotator1,id_0033.jpeg,2,0.1,0.08975889680689275,2,0.02532400706257911,10
annotator1,id_0050.jpeg,1,-0.65,-0.6522070555301435,2,-0.45778746186138697,45
annotator1,id_0071.jpeg,3,-0.76,-0.7738565968227569,3,-0.749227478284525,50
annotator1,id_0019.jpeg,2,-0.97,-0.9717248422463229,2,-0.9676647054761436,50
annotator1,id_0063.jpeg,2,0.6,0.6087025112779343,5,0.581528366914828,50
annotator1,id_0048.jpeg,3,0.0,0.015810262262296648,2,-0.2520762460676508,50
annotator1,id_0012.jpeg,2,-0.51,-0.5250534737979113,2,-0.5564822298995209,20
annotator1,id_0016.jpeg,1,-0.15,-0.12567114961804352,3,-0.09569197630784065,50
annotator1,id_0039.jpeg,2,0.266,0.2658691540826565,3,0.2655385491960254,50
annotator1,id_0000.jpeg,4,-0.265,-0.26934225070437984,5,-0.2681845787530464,50
annotator1,id_0008.jpeg,1,0.06,0.06550153663877212,2,0.0661882029514153,10
annotator1,id_0015.jpeg,2,0.66,0.6692589050304683,3,0.6522868822639492,50
annotator1,id_0049.jpeg,3,-0.05,-0.043419471218276495,5,-0.0899311982802154,50
annotator1,id_0067.jpeg,2,0.5,0.5018270245203429,2,0.5137840896777104,60
annotator1,id_0045.jpeg,1,0.4,0.3664156386783657,2,0.35369219441932964,20
annotator1,id_0047.jpeg,1,-0.81,-0.8029189729994644,2,-0.7983628673264407,20
annotator1,id_0038.jpeg,3,0.71,0.6980220656195804,5,0.6786665007180244,50
annotator1,id_0036.jpeg,1,-0.23,-0.11749203388037555,2,-0.24601403002841604,50
annotator1,id_0069.jpeg,2,-0.44,-0.4360258318067455,2,-0.4344716209825574,50
annotator1,id_0051.jpeg,1,-0.22,-0.165379393665811,2,-0.1687516007365518,50
annotator1,id_0046.jpeg,1,-0.23,-0.21718302587379354,1,-0.21788819880309584,50
annotator2,id_0016.jpeg,2,-0.08,-0.08252263559175113,3,-0.09569197630784065,50
annotator2,id_0053.jpeg,1,-0.65,-0.650079857391774,3,-0.525414896295505,50
annotator2,id_0071.jpeg,2,-0.75,-0.7381295755952408,3,-0.749227478284525,50
annotator2,id_0073.jpeg,3,0.18,0.1727642591936417,5,0.09222463154855337,50
annotator2,id_0049.jpeg,3,0.1,0.08742549968090596,5,-0.0899311982802154,50
annotator2,id_0050.jpeg,1,-0.23,-0.18338313093542102,2,-0.45778746186138697,45
annotator2,id_0025.jpeg,1,-0.28,-0.30499486838084766,3,-0.5914044733399562,50
annotator2,id_0075.jpeg,1,-0.66,-0.6679049853320731,2,-0.6728962413501117,50
annotator2,id_0038.jpeg,2,0.6,0.6040831575618149,5,0.6786665007180244,50
annotator2,id_0066.jpeg,2,0.79,0.7972461217201299,2,0.8088608399778532,45
annotator2,id_0012.jpeg,2,-0.53,-0.543964184440403,2,-0.5564822298995209,20
annotator2,id_0022.jpeg,1,0.53,0.5322933513767985,2,0.549635968449612,10
annotator2,id_0036.jpeg,1,-0.45,-0.39078637668470034,2,-0.24601403002841604,50
annotator2,id_0059.jpeg,2,-0.25,-0.2379839105805487,2,-0.2821889955740224,60
annotator2,id_0014.jpeg,2,0.46,0.48630265246394033,1,0.47881051733437013,50
annotator2,id_0051.jpeg,1,-0.37,-0.3491037236659222,2,-0.1687516007365518,50
annotator2,id_0034.jpeg,2,0.037,0.03869182459534144,3,0.03886454553907723,50
annotator2,id_0079.jpeg,1,-0.025,-0.020331302426620103,2,-0.006342379851248846,45
annotator2,id_0078.jpeg,2,-0.25,-0.28065901170523166,5,-0.4793884948389979,50
annotator2,id_0009.jpeg,1,0.5,0.5030670998919888,5,0.6573440286804,50
annotator2,id_0011.jpeg,1,0.64,0.6416398675271157,2,0.670999545496312,20
annotator2,id_0037.jpeg,1,0.5,0.4786876811240113,2,0.4657712705373124,10
annotator2,id_0074.jpeg,2,-0.15,-0.12863604517957905,2,-0.37616593516240066,45
annotator2,id_0060.jpeg,2,-0.5,-0.446494906934457,2,-0.5986821108346219,45
annotator2,id_0069.jpeg,1,-0.55,-0.5489945061220066,2,-0.4344716209825574,50
annotator2,id_0035.jpeg,1,0.54,0.5312696139197134,1,0.5692977213084593,50
annotator2,id_0064.jpeg,1,0.68,0.6725679011751795,2,0.8107388146713747,10
annotator2,id_0026.jpeg,2,0.245,0.22571932970198888,2,0.23456224293724018,60
annotator2,id_0017.jpeg,1,0.76,0.758058813799381,2,0.7408461286659519,45
annotator2,id_0067.jpeg,1,0.58,0.5765418738890495,2,0.5137840896777104,60
annotator2,id_0047.jpeg,1,0.7,-0.6941926429671216,2,-0.7983628673264407,20
annotator2,id_0021.jpeg,1,-0.67,-0.670094403832456,1,-0.6668072757428662,50
annotator2,id_0063.jpeg,2,0.5,0.5109918294784895,5,0.581528366914828,50
annotator2,id_0057.jpeg,2,-0.7,-0.7106257118453679,2,-0.758364185226362,50
annotator2,id_0054.jpeg,2,-0.1,-0.1434551883167643,2,-0.20280247331185175,60
annotator2,id_0000.jpeg,2,-0.27,-0.27582689515824144,5,-0.2681845787530464,50
annotator2,id_0061.jpeg,2,0.59,0.5907573577378747,2,0.7049771345348418,60
annotator2,id_0077.jpeg,1,-0.52,-0.5081017221290254,2,-0.4723913577551772,20
annotator2,id_0056.jpeg,1,-0.36,-0.3560132863030594,2,-0.3341798321551385,50
annotator2,id_0058.jpeg,2,0.22,0.2299648066215591,2,0.09764789273740451,60
annotator2,id_0031.jpeg,1,-0.41,-0.410507778419767,1,-0.49911056384280833,50
annotator2,id_0076.jpeg,1,-0.16,-0.14679178159108758,2,0.20473896641767864,20
annotator2,id_0032.jpeg,1,0.11,0.10710096773080816,2,0.05062290886161164,50
annotator2,id_0068.jpeg,3,0.0,-0.004828826887385507,1,-0.02197910156670367,50
annotator2,id_0001.jpeg,1,2.0,0.18547967026472095,2,0.3451878052305861,50
annotator2,id_0042.jpeg,1,0.72,0.7137789948340122,2,0.6404160766630164,45
annotator2,id_0041.jpeg,1,0.45,0.04824700267389895,1,0.05442785443529813,50
annotator2,id_0005.jpeg,1,-0.58,-0.056834936441331606,2,-0.06041643059872455,10
annotator2,id_0018.jpeg,1,-0.025,-0.027029508971392363,1,-0.02778472116502143,50
annotator2,id_0033.jpeg,1,0.25,0.28069091340463914,2,0.02532400706257911,10
annotator2,id_0020.jpeg,1,0.25,-0.1678545688315899,1,-0.17800685503322328,50
annotator2,id_0072.jpeg,2,0.05,0.04469354900407485,5,-0.05084275404742923,50
annotator2,id_0052.jpeg,2,0.15,0.1518132124963904,3,0.12697443565216776,50
annotator2,id_0040.jpeg,2,0.1,0.10428161510291056,3,0.046109032316598214,50
annotator2,id_0044.jpeg,1,0.63,0.6305239676261597,2,0.5701574633626592,60
annotator2,id_0007.jpeg,1,0.34,0.33329871228488595,2,0.2411647474715203,20
annotator2,id_0028.jpeg,1,-0.39,-0.3921566844676969,2,-0.41730220223751163,45
annotator2,id_0002.jpeg,2,-0.1,-0.07876760793542886,2,0.1631282028990468,10
annotator2,id_0055.jpeg,2,-0.57,-0.57861894843672,2,-0.5612999095943637,60
annotator2,id_0048.jpeg,2,0.0,0.006005180474216387,2,-0.2520762460676508,50
annotator2,id_0003.jpeg,1,0.125,0.13406545859363522,2,0.14527528327985648,10
annotator2,id_0065.jpeg,1,-0.235,-0.23193285807058905,5,-0.20806842314644575,50
annotator2,id_0004.jpeg,1,-0.73,-0.7215874351400541,1,-0.7095085056464476,50
annotator2,id_0027.jpeg,2,0.14,0.13205800068883733,2,0.19600585397471798,20
annotator2,id_0008.jpeg,1,0.075,0.06944188967382772,2,0.0661882029514153,10
annotator2,id_0006.jpeg,1,-0.3,-0.304381117776911,5,-0.23085111168023553,50
annotator2,id_0045.jpeg,1,0.0,0.0012051606742459198,2,0.35369219441932964,20
annotator2,id_0029.jpeg,1,-0.25,-0.24846984226797464,2,-0.16592075496305483,20
annotator2,id_0023.jpeg,1,0.84,0.8474025442844196,2,0.8020903968710063,60
annotator2,id_0015.jpeg,2,0.7,0.6996748596156406,3,0.6522868822639492,50
annotator2,id_0062.jpeg,1,-0.2,-0.04516562868289853,2,0.138299083669354,20
annotator2,id_0046.jpeg,1,-0.225,-0.21548010824089348,1,-0.21788819880309584,50
annotator2,id_0030.jpeg,1,0.25,0.24743429066109857,2,-0.016091899038866014,10
annotator2,id_0043.jpeg,1,0.2,0.15016368786497725,2,0.10768968517225372,45
annotator2,id_0010.jpeg,1,0.7,0.7010676174982234,2,0.8113902478758562,10
annotator2,id_0013.jpeg,1,-0.3,-0.2851627506246443,2,-0.09791573867882745,60
annotator2,id_0070.jpeg,2,-0.3,-0.27724171514502705,3,-0.36220850185732484,50
annotator2,id_0024.jpeg,2,-0.35,-0.3437663478362999,2,-0.27170832517096644,45
annotator2,id_0039.jpeg,2,0.268,0.2682074898941345,3,0.2655385491960254,50
annotator2,id_0019.jpeg,1,-0.25,-0.9227163293280818,2,-0.9676647054761436,50
